Spotify PT;MrBallen Podcast: Strange Dark & Mysterious Stories;Podcast;NULL;NULL;346;NULL;Ballen Studios;NULL;18+;NULL
Spotify PT;LANZ & PRECHT;Podcast;NULL;NULL;198;NULL;ZDF Markus Lanz & Richard David Precht;NULL;Livre;NULL
Spotify PT;Meditação Guiada - Yoga & Terapia - Adriana Ricci ;Podcast;NULL;NULL;72;NULL;Adriana Ricci;NULL;Livre;NULL
Spotify PT;Yaya Sama Audios;Podcast;NULL;NULL;97;NULL;Yaya;NULL;18+;NULL
Spotify PT;ZOE Science & Nutrition;Podcast;NULL;NULL;224;NULL;ZOE;NULL;Livre;NULL
Spotify PT;The Yard;Podcast;NULL;NULL;206;NULL;The Yard;NULL;18+;NULL
Spotify PT;The Bible in a Year (with Fr. Mike Schmitz);Podcast;NULL;NULL;1320;NULL;Ascension;NULL;Livre;NULL
Spotify PT;Nothing much happens: bedtime stories to help you sleep;Podcast;NULL;NULL;379;NULL;Wellness Loud;NULL;Livre;NULL
Spotify PT;The Unplanned Podcast with Matt & Abby;Podcast;NULL;NULL;122;NULL;Matt & Abby;NULL;Livre;NULL
Spotify PT;Apokalypse & Filterkaffee;Podcast;NULL;NULL;1433;NULL;Micky Beisenherz & Studio Bummens;NULL;Livre;NULL
Spotify PT;Las Culturistas with Matt Rogers and Bowen Yang;Podcast;NULL;NULL;493;NULL;Big Money Players Network and iHeartPodcasts;NULL;18+;NULL
Spotify PT;VIEWS with David Dobrik & Jason Nash;Podcast;NULL;NULL;251;NULL;VIEWS;NULL;18+;NULL
Spotify PT;2 Bears 1 Cave with Tom Segura & Bert Kreischer;Podcast;NULL;NULL;295;NULL;2 Bears 1 Cave;NULL;18+;NULL
Spotify PT;Edeltalk - mit Dominik & Kevin;Podcast;NULL;NULL;352;NULL;Papaplatte & Reeze;NULL;Livre;NULL
Spotify PT;Hotel;Podcast;NULL;NULL;82;NULL;Luis Franco-Bastos;NULL;Livre;NULL
Spotify PT;The Rest Is History;Podcast;NULL;NULL;594;NULL;Goalhanger;NULL;18+;NULL
Spotify PT;Huberman Lab;Podcast;NULL;NULL;307;NULL;Scicomm Media;NULL;18+;NULL
Spotify PT;Histórias de Lisboa;Podcast;NULL;NULL;22;NULL;Miguel Franco de Andrade;NULL;Livre;NULL
Spotify PT;E o Resto é História;Podcast;NULL;NULL;334;NULL;Rui Ramos e João Miguel Tavares;NULL;Livre;NULL
Spotify PT;h.;Podcast;NULL;NULL;2;NULL;x.;NULL;Livre;NULL
Spotify PT;H;Podcast;NULL;NULL;3;NULL;H;NULL;Livre;NULL
Spotify PT;A História repete-se;Podcast;NULL;NULL;136;NULL;Henrique Monteiro e Lourenço Pereira Coutinho;NULL;Livre;NULL
Spotify PT;White Noise and Sleep Sounds (12 Hours);Podcast;NULL;NULL;114;NULL;White Noise and Sleep Sounds (12 Hours) to Sleep | Study | Relax | Soothe a Baby;NULL;18+;NULL
Spotify PT;Falando de História;Podcast;NULL;NULL;196;NULL;Paulo M. Dias e Roger Lee de Jesus;NULL;Livre;NULL
Spotify PT;Homens de uma Certa Idade;Podcast;NULL;NULL;28;NULL;Observador;NULL;Livre;NULL
Spotify PT;A História do Dia;Podcast;NULL;NULL;848;NULL;Observador;NULL;Livre;NULL
