Plataforma,Título,Tipo de Conteúdo,Ano de Lançamento,Nº Temporadas/Filmes na Saga,Nº de Episódios,Género,Produtor/Artista,Classificação IMDb,Classificação Etária (PEGI),Duração (minutos)
HIDIVE,Otaku Elf,TV,2023,1,12,ANIME,Yuka Ozaki,NULL,12+,24
HIDIVE,Non Non Biyori: Vacation,Movie,2018,NULL,NULL,ANIME,NULL,NULL,NULL,71
HIDIVE,From Bureaucrat to Villainess: Dad's Been Reincarnated!,TV,2025,1,12,ANIME,Michiro Ueyama,6.8,NULL,24
HIDIVE,Utano Princesama Maji LOVE Kingdom,Movie,2019,NULL,NULL,ANIME,NULL,NULL,NULL,84
HIDIVE,Girls und Panzer das Finale: Part III,Movie,2021,NULL,NULL,ANIME,Tsutomu Mizushima,8.9,NULL,48
HIDIVE,Teasing Master Takagi-san: The Movie,Movie,2022,NULL,NULL,ANIME,Hiroaki Akagi,7.9,NULL,73
HIDIVE,Engaged to the Unidentified,TV,2014,1,12,ANIME,Cherry Arai,7.0,12+,23
HIDIVE,My Instant Death Ability is Overpowered,TV,2024,1,12,ANIME,Tsuyoshi Fujitaka,6.2,12+,24
HIDIVE,"Love, Chunibyo & Other Delusions! Rikka Version",Movie,2013,NULL,NULL,ANIME,NULL,NULL,NULL,97
HIDIVE,Ya Boy Kongming! Road to Summer Sonia,Movie,2024,NULL,NULL,ANIME,Shu Honma,NULL,NULL,119
HIDIVE,Ao-chan Can't Study!,TV,2019,1,12,ANIME,Ren Kawahara,6.4,12+,12
HIDIVE,Mirage Queen Prefers Circus,Movie,2022,NULL,NULL,ANIME,NULL,NULL,NULL,60
HIDIVE,Delinquent Hamsters,TV,2013,3,5,ANIME,NULL,NULL,NULL,5
HIDIVE,Kinmoza! Pretty Days,Movie,2016,NULL,NULL,ANIME,NULL,NULL,NULL,50
HIDIVE,Alice Gear Aegis Expansion,TV,2023,1,12,ANIME,Yui Ishikawa,NULL,12+,23
HIDIVE,Uta no Prince-sama Maji LOVE Starish Tours,Movie,2022,NULL,NULL,ANIME,NULL,NULL,NULL,65
HIDIVE,Student Council Staff Members Movie,Movie,2017,NULL,NULL,ANIME,NULL,NULL,NULL,60
HIDIVE,RE:cycle of the PENGUINDRUM Part 1: Your Train Is the Survival Tactic,Movie,2022,NULL,NULL,ANIME,NULL,NULL,NULL,124
HIDIVE,Cinderella Nine,TV,2019,2,13,ANIME,Nozomi Nishida,5.4,NULL,24
HIDIVE,Future Folktales,TV,2020,2,13,ANIME,Masami Shimoda,7.7,NULL,24
HIDIVE,Chimimo,TV,2022,1,12,ANIME,Shin'ya Takahashi,NULL,NULL,23
HIDIVE,Re:Cycle of Penguindrum: Part 2 - I Love You,Movie,2022,NULL,NULL,ANIME,NULL,NULL,NULL,143
HIDIVE,Dai Shogun - Great Revolution,TV,2014,1,12,ANIME,Yôko Hikasa,5.3,16+,23
HIDIVE,Twittering Birds Never Fly: The Clouds Gather,Movie,2020,NULL,NULL,ANIME,NULL,NULL,NULL,85
HIDIVE,The Feast of Amrita,Movie,2023,NULL,NULL,ANIME,Saku Sakamoto,NULL,NULL,48
HIDIVE,Fate/kaleid liner Prisma☆Illya: Licht Nameless Girl,Movie,2021,NULL,NULL,ANIME,NULL,NULL,NULL,94
HIDIVE,Fate/kaleid liner Prisma☆Illya: Vow in the Snow,Movie,2017,NULL,NULL,ANIME,NULL,NULL,NULL,89
HIDIVE,Happy-Go-Lucky Days,Movie,2020,NULL,NULL,ANIME,NULL,NULL,NULL,54
HIDIVE,BanG Dream!,TV,2017,3,13,ANIME,Aimi Terakawa,6.8,12+,24
HIDIVE,Aragne: Sign of Vermillion,Movie,2018,NULL,NULL,ANIME,Saku Sakamoto,5.0,NULL,75
HIDIVE,Fragtime,Movie,2019,NULL,NULL,ANIME,Takayuki Gotan,6.0,NULL,61
HIDIVE,Princess Principal Crown Handler: Chapter 1,Movie,2021,NULL,NULL,ANIME,Masaki Tachibana,6.8,NULL,54
HIDIVE,Revue Starlight: The Movie,Movie,2021,NULL,NULL,ANIME,Tomohiro Furukawa,7.8,NULL,120
HIDIVE,Beyond the Boundary: I'll Be Here – Past,Movie,2015,NULL,NULL,ANIME,NULL,NULL,NULL,82
HIDIVE,The Vexations of a Shut-In Vampire Princess,TV,2023,1,12,ANIME,Kotei Kobayashi,7.0,12+,24
HIDIVE,Ane Log,TV,2014,1,3,ANIME,Ami Koshimizu,4.2,12+,23
HIDIVE,Majestic Prince: Genetic Awakening,Movie,2016,NULL,NULL,ANIME,Daisuke Eguchi,7.2,NULL,77
HIDIVE,Helck,TV,2023,1,24,ANIME,Daisuke Renba,6.8,12+,22
HIDIVE,And Yet the Town Moves,TV,2010,1,12,ANIME,Chiaki Omigawa,7.3,16+,24
HIDIVE,Loups=Garous,Movie,2010,NULL,NULL,ANIME,Jun'ichi Fujisaku,5.2,NULL,99
HIDIVE,Fate/kaleid liner Prisma☆Illya: Prisma☆Phantasm,Movie,2019,NULL,NULL,ANIME,NULL,NULL,NULL,62
HIDIVE,Kinmoza the Movie: Thank You!!,Movie,2021,NULL,NULL,ANIME,NULL,NULL,NULL,82
HIDIVE,The Kunoichi: Ninja Girl,Movie,2011,NULL,NULL,ANIME,Seiji Chiba,4.5,NULL,65
HIDIVE,BanG Dream! FILM LIVE,Movie,2019,NULL,NULL,ANIME,Tomomi Umezu,7.1,NULL,72
HIDIVE,Gatchaman: The Movie,Movie,1978,NULL,NULL,ANIME,Hisayuki Toriumi,6.4,NULL,110
HIDIVE,Getter Robo Arc,TV,2021,1,13,ANIME,NULL,NULL,12+,24
HIDIVE,Kaiju Mono,Movie,2016,NULL,NULL,ANIME,Minoru Kawasaki,5.8,NULL,93
HIDIVE,Eternal Boys,TV,2022,1,27,ANIME,Misato Murai,6.9,12+,14
HIDIVE,Gunbuster: The Movie,Movie,2006,NULL,NULL,ANIME,Hideaki Anno,NULL,NULL,95
HIDIVE,Gargoyle of Yoshinaga House,TV,2006,1,13,ANIME,Norio Wakamoto,7.0,NULL,30
