Plataforma;Título;Tipo de Conteúdo;Ano de Lançamento;Nº Temporadas/Filmes na Saga;Nº de Episódios;Género;Produtor/Artista;Classificação IMDb;Classificação Etária (PEGI);Duração (minutos)
Crunchyroll;Jin-Roh: The Wolf Brigade;MOVIE;2000;NULL;1.0;ANIME;NULL;NULL;Livre;102.0
Crunchyroll;OVERLORD: The Sacred Kingdom;MOVIE;2024;NULL;1.0;ANIME;NULL;NULL;Livre;135.0
Crunchyroll;My Sweet Tyrant;TV_SHORT;2018;NULL;25.0;ANIME;NULL;8.3;12+;4.0
Crunchyroll;KINMOZA!;TV;2013;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Ron Kamonohashi's Forbidden Deductions;TV;2023;NULL;13.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Sarazanmai;TV;2019;NULL;11.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Kaiji - Against All Rules;TV;2011;NULL;26.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;LOVE STAGE!!;TV;2014;NULL;10.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Wagnaria!!3;TV;2015;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Gintama.: Slip Arc;TV;2017;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Girls Band Cry;TV;2024;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Master of Ragnarök & Blesser of Einherjar;TV;2018;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;ACCA: 13-Territory Inspection Dept.;TV;2017;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Irina: The Vampire Cosmonaut;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Yu☆Gi☆Oh!;TV;1998;NULL;27.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;I May Be a Guild Receptionist, but I’ll Solo Any Boss to Clock Out on Time;TV;2025;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Shakugan no Shana: Season II ;TV;2007;NULL;24.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Heaven's Lost Property: Forte;TV;2010;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Naruto the Movie: Ninja Clash in the Land of Snow;MOVIE;2004;NULL;1.0;ANIME;NULL;NULL;Livre;90.0
Crunchyroll;Space Patrol Luluco;TV_SHORT;2016;NULL;13.0;ANIME;NULL;NULL;Livre;8.0
Crunchyroll;Good Luck Girl!;TV;2012;NULL;13.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;The Dawn of the Witch;TV;2022;NULL;12.0;ANIME;NULL;7.8;12+;24.0
Crunchyroll;Natsume's Book of Friends Season 2;TV;2009;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Unnamed Memory;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;In Another World With My Smartphone 2;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Bungo Stray Dogs 2: Walking Alone;OVA;2017;NULL;1.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Squid Girl;TV;2010;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Comic Girls;TV;2018;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Devil is a Part-Timer! Season 2 Part 2;TV;2023;NULL;12.0;ANIME;NULL;8.6;16+;24.0
Crunchyroll;Kono Oto Tomare!: Sounds of Life Season 2;TV;2019;NULL;13.0;ANIME;NULL;8.0;14+;24.0
Crunchyroll;AMNESIA;TV;2013;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;SSSS.DYNAZENON;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;2.5 Dimensional Seduction;TV;2024;NULL;24.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;SHOSHIMIN: How to Become Ordinary;TV;2024;NULL;10.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Kingdom;TV;2012;NULL;38.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;"ChäoS;HEAd";TV;2008;NULL;12.0;ANIME;NULL;NULL;Livre;27.0
Crunchyroll;The Place Promised in Our Early Days;MOVIE;2004;NULL;1.0;ANIME;NULL;NULL;Livre;90.0
Crunchyroll;Gintama: THE VERY FINAL;MOVIE;2021;NULL;1.0;ANIME;NULL;NULL;Livre;104.0
Crunchyroll;Black Butler: Book of the Atlantic;MOVIE;2017;NULL;1.0;ANIME;NULL;NULL;Livre;101.0
Crunchyroll;Qualidea Code;TV;2016;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Ranking of Kings: The Treasure Chest of Courage;TV;2023;NULL;10.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;HANEBADO!;TV;2018;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;FAIRY TAIL 100 YEARS QUEST;TV;2024;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Lost Village;TV;2016;NULL;12.0;ANIME;NULL;7.4;16+;24.0
Crunchyroll;Kanon (2006);TV;2006;NULL;24.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Ascendance of a Bookworm Season 3;TV;2022;NULL;10.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Trinity Seven: Eternal Library & Alchemic Girl;MOVIE;2017;NULL;1.0;ANIME;NULL;NULL;Livre;56.0
Crunchyroll;The Eccentric Family;TV;2013;NULL;13.0;ANIME;NULL;8.2;16+;24.0
Crunchyroll;Pretty Boy Detective Club;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;To Every You I’ve Loved Before;MOVIE;2022;NULL;1.0;ANIME;NULL;NULL;Livre;102.0
Crunchyroll;Kenichi: The Mightiest Disciple;TV;2006;NULL;50.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;RE-MAIN;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;ef ~ A Tale of Memories;TV;2007;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Golden Kamuy Season 3;TV;2020;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Rail Wars!;TV;2014;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Rewrite;TV;2016;NULL;13.0;ANIME;NULL;NULL;Livre;26.0
Crunchyroll;Dragon Ball DAIMA;TV;2024;NULL;20.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Legendary Hero is Dead!;TV;2023;NULL;12.0;ANIME;NULL;8.6;16+;24.0
Crunchyroll;Yuki Yuna is a Hero;TV;2014;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Café Terrace and Its Goddesses;TV;2023;NULL;12.0;ANIME;NULL;8.6;16+;23.0
Crunchyroll;I'm Standing on a Million Lives Season 2;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Space Brothers;TV;2012;NULL;99.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Today's Menu for the Emiya Family;ONA;2018;NULL;13.0;ANIME;NULL;NULL;Livre;14.0
Crunchyroll;Natsume's Book of Friends Season 4;TV;2012;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Natsume's Book of Friends Season 3;TV;2011;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Classroom for Heroes;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;My Home Hero;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Kaiba;TV;2008;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Taisho Otome Fairy Tale;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;I Can't Understand What My Husband is Saying 2nd Thread;TV_SHORT;2015;NULL;13.0;ANIME;NULL;NULL;Livre;4.0
Crunchyroll;Hell’s Paradise Season 2;TV;2026;NULL;;ANIME;NULL;NULL;Livre;
Crunchyroll;Those Snow White Notes;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;You are Ms. Servant;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;The Irregular at Magic High School Season 3;TV;2024;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Knights of Sidonia;TV;2014;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Granblue Fantasy: The Animation;TV;2017;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;YuruYuri Season 2;TV;2012;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;2.43: Seiin High School Boys Volleyball Team;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Are You Lost?;TV_SHORT;2019;NULL;12.0;ANIME;NULL;NULL;Livre;13.0
Crunchyroll;"Occultic;Nine";TV;2016;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Bottom-Tier Character Tomozaki 2nd Stage;TV;2024;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Fairy gone;TV;2019;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Foolish Angel Dances with the Devil;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Otherside Picnic;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;SUPER HXEROS;TV;2020;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Gatchaman Crowds;TV;2013;NULL;12.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Initial D 3rd Stage;MOVIE;2001;NULL;1.0;ANIME;NULL;NULL;Livre;104.0
Crunchyroll;The Strongest Magician in the Demon Lord's Army was a Human;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Tawawa on Monday;ONA;2016;NULL;12.0;ANIME;NULL;NULL;Livre;5.0
Crunchyroll;Let This Grieving Soul Retire;TV;2024;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;DEMON LORD 2099;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Joker Game;TV;2016;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Ushio and Tora (TV);TV;2015;NULL;26.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Why Does Nobody Remember Me in This World?;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;SKET Dance;TV;2011;NULL;77.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Sakura Quest;TV;2017;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Fairy Tail: Dragon Cry;MOVIE;2017;NULL;1.0;ANIME;NULL;NULL;Livre;84.0
Crunchyroll;Honey Lemon Soda;TV;2025;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Please tell me! Galko-chan;TV_SHORT;2016;NULL;12.0;ANIME;NULL;NULL;Livre;8.0
Crunchyroll;Initial D 4th Stage;TV;2004;NULL;24.0;ANIME;NULL;NULL;Livre;27.0
Crunchyroll;Super Cub;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;To Me, The One Who Loved You;MOVIE;2022;NULL;1.0;ANIME;NULL;NULL;Livre;98.0
Crunchyroll;FLCL Progressive;TV;2018;NULL;6.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Symphogear;TV;2012;NULL;13.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;THE NEW GATE;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Metallic Rouge;TV;2024;NULL;13.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Magical Girl Raising Project;TV;2016;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Naruto Shippuden the Movie: The Will of Fire;MOVIE;2009;NULL;1.0;ANIME;NULL;NULL;Livre;95.0
Crunchyroll;Yakuza Fiancé: Raise wa Tanin ga Ii;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Yu-Gi-Oh! GX;TV;2004;NULL;180.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Bokurano;TV;2007;NULL;24.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;A Condition Called Love;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;MARS RED;TV;2021;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;BARTENDER Glass of God;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;SHUFFLE!;TV;2005;NULL;24.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Kakuriyo -Bed & Breakfast for Spirits-;TV;2018;NULL;26.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;YU-NO: A Girl Who Chants Love at the Bound of This World;TV;2019;NULL;26.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Izetta: The Last Witch;TV;2016;NULL;12.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;KONOHANA KITAN;TV;2017;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Aoharu x Machinegun;TV;2015;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Naruto the Movie: Legend of the Stone of Gelel;MOVIE;2005;NULL;1.0;ANIME;NULL;NULL;Livre;97.0
Crunchyroll;If Her Flag Breaks;TV;2014;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;My Unique Skill Makes Me OP even at Level 1;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Miss Caretaker of Sunohara-sou;TV;2018;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Fruits Basket -prelude-;MOVIE;2022;NULL;1.0;ANIME;NULL;NULL;Livre;88.0
Crunchyroll;Castle Town Dandelion;TV;2015;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Fate/kaleid liner Prisma☆Illya 2wei!;TV;2014;NULL;10.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Netsuzou Trap -NTR-;TV_SHORT;2017;NULL;12.0;ANIME;NULL;NULL;Livre;9.0
Crunchyroll;Full Metal Panic? Fumoffu;TV;2003;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Chaika -The Coffin Princess- AVENGING BATTLE;TV;2014;NULL;10.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;APPARE-RANMAN!;TV;2020;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Chihayafuru 3;TV;2019;NULL;24.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;The Ones Within;TV;2019;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Idol Master;TV;2011;NULL;25.0;ANIME;NULL;8.1;12+;24.0
Crunchyroll;Terra Formars;TV;2014;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~;OVA;2019;NULL;1.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;KOWLOON GENERIC ROMANCE;TV;2025;NULL;13.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Grandpa and Grandma Turn Young Again;TV;2024;NULL;11.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Ga-Rei-Zero;TV;2008;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Dropkick on My Devil!;TV;2018;NULL;11.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Ikebukuro West Gate Park;TV;2020;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
